y,DateTime,Count,Threshold,Anomaly
0,5-10-15 0:00,3,40,False
1,5-10-15 1:00,2,40,False
2,5-10-15 2:00,2,40,False
3,5-10-15 3:00,2,30,False
4,5-10-15 4:00,1,30,False
5,5-10-15 5:00,1,30,False
6,5-10-15 6:00,1,20,False
7,5-10-15 7:00,5,60,False
8,5-10-15 8:00,9,100,False
9,5-10-15 9:00,30,120,False
10,5-10-15 10:00,29,150,False
11,5-10-15 11:00,37,130,False
12,5-10-15 12:00,19,100,False
13,5-10-15 13:00,17,110,False
14,5-10-15 14:00,28,120,False
15,5-10-15 15:00,42,120,False
16,5-10-15 16:00,18,120,False
17,5-10-15 17:00,16,100,False
18,5-10-15 18:00,5,80,False
19,5-10-15 19:00,11,60,False
20,5-10-15 20:00,11,60,False
21,5-10-15 21:00,5,40,False
22,5-10-15 22:00,15,50,False
23,5-10-15 23:00,8,50,False
24,6-10-15 0:00,9,40,False
25,6-10-15 1:00,4,40,False
26,6-10-15 2:00,7,40,False
27,6-10-15 3:00,2,30,False
28,6-10-15 4:00,0,30,False
29,6-10-15 5:00,0,30,False
30,6-10-15 6:00,0,20,False
31,6-10-15 7:00,6,60,False
32,6-10-15 8:00,14,100,False
33,6-10-15 9:00,19,120,False
34,6-10-15 10:00,25,150,False
35,6-10-15 11:00,27,130,False
36,6-10-15 12:00,21,100,False
37,6-10-15 13:00,34,110,False
38,6-10-15 14:00,24,120,False
39,6-10-15 15:00,28,120,False
40,6-10-15 16:00,30,120,False
41,6-10-15 17:00,13,100,False
42,6-10-15 18:00,12,80,False
43,6-10-15 19:00,1,60,False
44,6-10-15 20:00,16,60,False
45,6-10-15 21:00,3,40,False
46,6-10-15 22:00,8,50,False
47,6-10-15 23:00,4,50,False
48,7-10-15 0:00,10,40,False
49,7-10-15 1:00,4,40,False
50,7-10-15 2:00,5,40,False
51,7-10-15 3:00,5,30,False
52,7-10-15 4:00,4,30,False
53,7-10-15 5:00,0,30,False
54,7-10-15 6:00,0,20,False
55,7-10-15 7:00,12,60,False
56,7-10-15 8:00,4,100,False
57,7-10-15 9:00,27,120,False
58,7-10-15 10:00,17,150,False
59,7-10-15 11:00,42,130,False
60,7-10-15 12:00,138,100,True
61,7-10-15 13:00,24,110,False
62,7-10-15 14:00,38,120,False
63,7-10-15 15:00,36,120,False
64,7-10-15 16:00,29,120,False
65,7-10-15 17:00,14,100,False
66,7-10-15 18:00,20,80,False
67,7-10-15 19:00,13,60,False
68,7-10-15 20:00,2,60,False
69,7-10-15 21:00,4,40,False
70,7-10-15 22:00,5,50,False
71,7-10-15 23:00,1,50,False
72,8-10-15 0:00,6,40,False
73,8-10-15 1:00,4,40,False
74,8-10-15 2:00,3,40,False
75,8-10-15 3:00,2,30,False
76,8-10-15 4:00,2,30,False
77,8-10-15 5:00,5,30,False
78,8-10-15 6:00,3,20,False
79,8-10-15 7:00,28,60,False
80,8-10-15 8:00,15,100,False
81,8-10-15 9:00,21,120,False
82,8-10-15 10:00,34,150,False
83,8-10-15 11:00,21,130,False
84,8-10-15 12:00,25,100,False
85,8-10-15 13:00,23,110,False
86,8-10-15 14:00,26,120,False
87,8-10-15 15:00,29,120,False
88,8-10-15 16:00,27,120,False
89,8-10-15 17:00,11,100,False
90,8-10-15 18:00,12,80,False
91,8-10-15 19:00,4,60,False
92,8-10-15 20:00,4,60,False
93,8-10-15 21:00,6,40,False
94,8-10-15 22:00,6,50,False
95,8-10-15 23:00,6,50,False
96,9-10-15 0:00,2,40,False
97,9-10-15 1:00,0,40,False
98,9-10-15 2:00,4,40,False
99,9-10-15 3:00,2,30,False
100,9-10-15 4:00,0,30,False
101,9-10-15 5:00,9,30,False
102,9-10-15 6:00,2,20,False
103,9-10-15 7:00,17,60,False
104,9-10-15 8:00,24,100,False
105,9-10-15 9:00,15,120,False
106,9-10-15 10:00,24,150,False
107,9-10-15 11:00,34,130,False
108,9-10-15 12:00,21,100,False
109,9-10-15 13:00,21,110,False
110,9-10-15 14:00,25,120,False
111,9-10-15 15:00,38,120,False
112,9-10-15 16:00,37,120,False
113,9-10-15 17:00,24,100,False
114,9-10-15 18:00,3,80,False
115,9-10-15 19:00,8,60,False
116,9-10-15 20:00,6,60,False
117,9-10-15 21:00,5,40,False
118,9-10-15 22:00,9,50,False
119,9-10-15 23:00,5,50,False
120,10-10-15 0:00,8,20,False
121,10-10-15 1:00,1,20,False
122,10-10-15 2:00,0,20,False
123,10-10-15 3:00,1,20,False
124,10-10-15 4:00,1,15,False
125,10-10-15 5:00,3,15,False
126,10-10-15 6:00,5,15,False
127,10-10-15 7:00,5,30,False
128,10-10-15 8:00,12,60,False
129,10-10-15 9:00,6,80,False
130,10-10-15 10:00,8,80,False
131,10-10-15 11:00,15,80,False
132,10-10-15 12:00,14,70,False
133,10-10-15 13:00,5,80,False
134,10-10-15 14:00,18,80,False
135,10-10-15 15:00,12,90,False
136,10-10-15 16:00,6,60,False
137,10-10-15 17:00,2,50,False
138,10-10-15 18:00,2,35,False
139,10-10-15 19:00,7,25,False
140,10-10-15 20:00,3,40,False
141,10-10-15 21:00,3,30,False
142,10-10-15 22:00,1,20,False
143,10-10-15 23:00,3,20,False
144,11-10-15 0:00,2,20,False
145,11-10-15 1:00,2,20,False
146,11-10-15 2:00,1,20,False
147,11-10-15 3:00,5,20,False
148,11-10-15 4:00,1,15,False
149,11-10-15 5:00,0,15,False
150,11-10-15 6:00,2,15,False
151,11-10-15 7:00,3,30,False
152,11-10-15 8:00,3,60,False
153,11-10-15 9:00,5,80,False
154,11-10-15 10:00,3,80,False
155,11-10-15 11:00,7,80,False
156,11-10-15 12:00,2,70,False
157,11-10-15 13:00,6,80,False
158,11-10-15 14:00,7,80,False
159,11-10-15 15:00,4,90,False
160,11-10-15 16:00,5,60,False
161,11-10-15 17:00,5,50,False
162,11-10-15 18:00,5,35,False
163,11-10-15 19:00,6,25,False
164,11-10-15 20:00,5,40,False
165,11-10-15 21:00,10,30,False
166,11-10-15 22:00,5,20,False
167,11-10-15 23:00,6,20,False
168,12-10-15 0:00,1,40,False
169,12-10-15 1:00,1,40,False
170,12-10-15 2:00,1,40,False
171,12-10-15 3:00,1,30,False
172,12-10-15 4:00,0,30,False
173,12-10-15 5:00,0,30,False
174,12-10-15 6:00,6,20,False
175,12-10-15 7:00,17,60,False
176,12-10-15 8:00,21,100,False
177,12-10-15 9:00,24,120,False
178,12-10-15 10:00,12,150,False
179,12-10-15 11:00,49,130,False
180,12-10-15 12:00,18,100,False
181,12-10-15 13:00,31,110,False
182,12-10-15 14:00,34,120,False
183,12-10-15 15:00,22,120,False
184,12-10-15 16:00,27,120,False
185,12-10-15 17:00,21,100,False
186,12-10-15 18:00,9,80,False
187,12-10-15 19:00,9,60,False
188,12-10-15 20:00,3,60,False
189,12-10-15 21:00,11,40,False
190,12-10-15 22:00,10,50,False
191,12-10-15 23:00,24,50,False
192,13-10-15 0:00,4,40,False
193,13-10-15 1:00,0,40,False
194,13-10-15 2:00,5,40,False
195,13-10-15 3:00,1,30,False
196,13-10-15 4:00,1,30,False
197,13-10-15 5:00,10,30,False
198,13-10-15 6:00,0,20,False
199,13-10-15 7:00,9,60,False
200,13-10-15 8:00,24,100,False
201,13-10-15 9:00,25,120,False
202,13-10-15 10:00,23,150,False
203,13-10-15 11:00,25,130,False
204,13-10-15 12:00,27,100,False
205,13-10-15 13:00,81,110,False
206,13-10-15 14:00,33,120,False
207,13-10-15 15:00,39,120,False
208,13-10-15 16:00,14,120,False
209,13-10-15 17:00,9,100,False
210,13-10-15 18:00,14,80,False
211,13-10-15 19:00,8,60,False
212,13-10-15 20:00,6,60,False
213,13-10-15 21:00,4,40,False
214,13-10-15 22:00,7,50,False
215,13-10-15 23:00,15,50,False
216,14-10-15 0:00,0,40,False
